week,Foreign Policy,Climate Change,Immigration,Economy,Same-Sex Marriage,Health Care,Taxes,Education,Abortion,Gun Control
1,10,8,5,6,7,3,1,2,4,9
2,10,8,4,6,7,3,1,2,5,9
3,10,8,4,6,7,3,1,2,5,9
4,10,8,5,6,7,3,1,2,4,9
5,10,8,5,6,7,3,1,2,4,9
6,10,8,5,6,7,3,1,2,4,9
7,10,8,5,6,7,3,1,2,4,9
8,10,8,5,6,7,3,1,2,4,9
9,10,8,5,6,7,3,1,2,4,9
10,10,8,5,6,7,3,1,2,4,9
11,10,8,5,6,7,3,1,2,4,9
12,10,8,5,6,7,3,1,2,4,9
13,10,8,5,6,7,3,1,2,4,9
14,10,8,5,6,7,3,1,2,4,9
15,10,9,5,6,6,3,1,2,4,8
16,10,8,5,6,7,4,1,2,3,9
17,10,8,4,7,6,5,2,1,3,9
18,10,9,3,7,6,5,2,1,4,8
19,10,8,4,7,6,5,2,1,3,8
20,10,8,5,7,6,4,2,1,3,9
21,10,8,5,7,6,4,2,1,3,9
22,10,8,5,7,6,4,2,1,3,9
